# Energy_1	Intensity_1
7.926050420168066921e+02	2.058532065804541140e-04
7.926290516206482835e+02	2.066134555547848896e-04
7.926530612244897611e+02	2.073780225233915234e-04
7.926770708283313525e+02	2.081469407640732601e-04
7.927010804321728301e+02	2.089202438795993754e-04
7.927250900360144215e+02	2.096979658015618619e-04
7.927490996398558991e+02	2.104801407942808063e-04
7.927731092436974905e+02	2.112668034587659831e-04
7.927971188475389681e+02	2.120579887367317904e-04
7.928211284513805595e+02	2.128537319146705164e-04
7.928451380552220371e+02	2.136540686279827432e-04
7.928691476590636285e+02	2.144590348651649961e-04
7.928931572629051061e+02	2.152686669720573496e-04
7.929171668667466975e+02	2.160830016561519657e-04
7.929411764705882888e+02	2.169020759909616968e-04
7.929651860744297664e+02	2.177259274204512739e-04
7.929891956782713578e+02	2.185545937635320027e-04
7.930132052821128354e+02	2.193881132186209688e-04
7.930372148859544268e+02	2.202265243682647265e-04
7.930612244897959044e+02	2.210698661838298015e-04
7.930852340936374958e+02	2.219181780302618230e-04
7.931092436974789734e+02	2.227714996709116333e-04
7.931332533013205648e+02	2.236298712724311922e-04
7.931572629051620424e+02	2.244933334097431261e-04
7.931812725090036338e+02	2.253619270710788530e-04
7.932052821128451114e+02	2.262356936630923029e-04
7.932292917166867028e+02	2.271146750160473382e-04
7.932533013205281804e+02	2.279989133890822318e-04
7.932773109243697718e+02	2.288884514755492011e-04
7.933013205282112494e+02	2.297833324084340087e-04
7.933253301320528408e+02	2.306835997658555513e-04
7.933493397358943184e+02	2.315892975766451096e-04
7.933733493397359098e+02	2.325004703260089196e-04
7.933973589435773874e+02	2.334171629612749859e-04
7.934213685474189788e+02	2.343394208977250326e-04
7.934453781512604564e+02	2.352672900245129190e-04
7.934693877551020478e+02	2.362008167106711737e-04
7.934933973589435254e+02	2.371400478112088456e-04
7.935174069627851168e+02	2.380850306732987210e-04
7.935414165666265944e+02	2.390358131425585671e-04
7.935654261704681858e+02	2.399924435694275691e-04
7.935894357743097771e+02	2.409549708156375804e-04
7.936134453781512548e+02	2.419234442607829272e-04
7.936374549819928461e+02	2.428979138089901223e-04
7.936614645858343238e+02	2.438784298956886800e-04
7.936854741896759151e+02	2.448650434944849041e-04
7.937094837935173928e+02	2.458578061241404092e-04
7.937334933973589841e+02	2.468567698556587645e-04
7.937575030012004618e+02	2.478619873194789851e-04
7.937815126050420531e+02	2.488735117127803174e-04
7.938055222088835308e+02	2.498913968069006752e-04
7.938295318127251221e+02	2.509156969548682133e-04
7.938535414165665998e+02	2.519464670990498854e-04
7.938775510204081911e+02	2.529837627789189940e-04
